Sample	Fastq_Files	Fastq_File_Size	Machine	Flowcell	Number_of_Reads	Percent_of_Reads_Mapped	Average_Insert_Size	Average_Pileup_Depth	Phase1_SNPs	Phase2_SNPs	Missing_SNP_Matrix_Positions	Excluded_Sample	Warnings_and_Errors
"sample1"	"sample1_1.fastq, sample1_2.fastq"	4818902			20000	94.54	286.84	22.89	46	46	0		"No compressed fastq.gz or fq.gz files were found."
"sample2"	"sample2_1.fastq, sample2_2.fastq"	4813480			20000	94.78	285.90	22.90	44	44	0		"No compressed fastq.gz or fq.gz files were found."
"sample4"	"sample4_1.fastq, sample4_2.fastq"	4783620			20000	94.44	285.44	22.28	37	37	0		"No compressed fastq.gz or fq.gz files were found."
"sample3"	"sample3_1.fastq, sample3_2.fastq"	4774974			20000	94.43	284.48	22.24	38	38	0		"No compressed fastq.gz or fq.gz files were found."
